Unnamed: 0,flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
4,EDW24_20180111,EDW24,WK24,4b1901,HB-JMF,A343,LSZH,LSZH,MMUN,LSZH,engine,return,unknown,4b382175,engine,return,unknown
19,AFR032_20180209,AFR032,AF32,3949e1,F-GSPB,B772,LFPO,LFPO,KJFK,LFPO,technical,return,unknown,4b4b9911,engine,return,unknown
29,RYR3ZK_20180228,RYR3ZK,FR2694,4ca678,EI-FOV,B738,LPPT,LPPT,LPPR,LPPT,unclear,return,unknown,4b592dcf,cabin_pressure,return,unknown
33,DAL445_20180303,DAL445,DL445,ab7ae4,N839MH,B764,LIRF,LFPG,KJFK,LFPG,unclear,diverted,unknown,4b5b3cf5,instrument,diverted,fueldump
45,BAW57K_20180319,BAW57K,BA57,40688d,G-XLEC,A388,EGLL,EGKK,FAOR,EGKK,hot_air_leak,return,hold_to_reduce,4b649fd5,hot_air_leak,return,fueldump
61,AFR830_20180406,AFR830,AF830,392f2d,F-GLZN,A343,LFPG,LFPG,FCPP,LFPG,unclear,return,unknown,4b7033cc,engine,return,unknown
80,SVA768_20180427,SVA768,SV768,710051,HZ-AQH,A333,OEJN,OMDB,VOMM,OMDB,unclear,diverted,unknown,4b7e07fa,cabin_pressure,diverted,unknown
90,GMI32FG_20180504,GMI32FG,ST4212,3c09ef,D-ASTU,A319,EDDG,EDDG,LEPA,EDDG,cabin_pressure,return,unknown,4b830fb6,cabin_pressure,return,unknown
98,UAL135_20180520,UAL135,UA135,aa93c9,N78060,B764,LSZH,LSZH,KEWR,LSZH,unclear,return,hold_to_reduce,4b8d6334,cracked_windshield,return,fueldump
105,LLX5963_20180526,LLX5963,5P5963,4a4ca1,YR-SEA,A320,EDLP,LFBE,LEMG,LFBE,unclear,diverted,unknown,4b91f180,cabin_pressure,diverted,unknown
115,AAL1897_20180603,AAL1897,AA1897,aaf83c,N806AW,A319,KSAT,KELP,KPHX,KELP,weather_damage,diverted,hold_to_reduce,4b97224e,weather_damage,diverted,hold_to_reduce
130,IBK6241_20180616,IBK6241,D86241,4ca354,EI-FHD,B738,BIKF,EGBB,LEMD,EGBB,hydraulics,diverted,unknown,4b9f779c,hydraulics,diverted,unknown
136,ACA885_20180622,ACA885,AC885,c051e4,C-GFAH,A333,LFPG,LFPG,CYUL,LFPG,hydraulics,return,hold_to_reduce,4ba4a68b,hydraulics,return,unknown
137,ANA232_20180622,ANA232,NH232,86d5d8,JA823A,B788,EBBR,EFHK,RJAA,EFHK,cracked_windshield,diverted,unknown,4ba3ebc0,cracked_windshield,diverted,unknown
143,TJK646_20180701,TJK646,7J646,0d0573,EY-444,B733,UUDD,UUUD,UTDL,UUUD,cabin_pressure,return,unknown,4ba9da5e,cabin_pressure,return,hold_to_reduce
145,NAX7191_20180706,NAX7191,DY7191,4950cd,CS-TFM,B772,LFPO,LFPO,KEWR,LFPO,landing_gear,return,hold_to_reduce,4bae6d1a,landing_gear,return,fueldump
155,BPA2221_20180717,BPA2221,BV2221,4d2124,9H-GTC,B734,LATI,LIPY,LIMC,LIPY,cracked_windshield,diverted,unknown,4bb59538,cracked_windshield,diverted,unknown
181,BCS5706_20180814,BCS5706,QY5706,4070a7,G-DHKB,B752,LIME,LIME,LROP,LIME,unclear,return,unknown,4bc5c976,cabin_pressure,return,unknown
202,EZY78ED_20180905,EZY78ED,U21746,440181,OE-LQG,A319,EDDB,EDDF,LFBO,EDDF,smoke_burn_smell_flames,diverted,unknown,4bd4c17b,smoke_burn_smell_flames,diverted,unknown
207,BEL515_20180911,BEL515,SN515,44ccd5,OO-SFU,A332,EBBR,EBBR,KIAD,EBBR,technical,return,unknown,4bd8d7c0,instrument,return,unknown
211,AFR474_20180918,AFR474,AF474,3949ef,F-GSPP,B772,LFPG,LFPG,MPTO,LFPG,smoke_burn_smell_flames,return,unknown,4bdd92f0,smoke_burn_smell_flames,return,unknown
